               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083513,            0.023091,                   0,             0.26196,             0.20491,              0.1117,            0.041877,            0.072681,            0.014159,                   0,            0.070006,           0.0033327,           0.0033327
                   1,            0.068561,            0.021211,                   0,             0.49768,             0.34284,             0.34541,             0.17249,            0.062889,            0.012731,                   0,            0.039841,            0.006501,            0.006501
                   2,            0.064352,             0.02034,                   0,             0.54816,             0.37573,             0.39578,             0.21138,            0.060409,            0.012633,                   0,           0.0095108,           0.0095044,           0.0095044
                   3,            0.061523,            0.019808,                   0,             0.57474,             0.38371,             0.41478,             0.22732,            0.059878,            0.012568,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.059303,             0.01938,                   0,             0.59742,             0.38604,             0.42854,             0.23873,            0.059425,            0.012572,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.057802,            0.019011,                   0,             0.60972,             0.38396,              0.4359,              0.2473,            0.058978,            0.012685,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.056793,            0.018839,                   0,             0.61638,             0.38602,              0.4403,             0.25178,            0.058841,            0.012742,                   0,           0.0087625,           0.0087625,           0.0087625
